# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_upstream_gene_variant
ABCD3	ENSG00000117528	ENST00000315713	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000370214	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000468860	processed_transcript	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000647998	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
AC104389.6	ENSG00000284931	ENST00000642908	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0
AC104389.6	ENSG00000284931	ENST00000647543	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0
BGLT3	ENSG00000260629	ENST00000564523		0	0	0	1	0	0	0	0	0	0	0	1
BRCA1	ENSG00000012048	ENST00000352993	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000357654	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000461221	nonsense_mediated_decay	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000468300	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000471181	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000491747	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000493795	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000586385	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000591534	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000591849	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000644379	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA2	ENSG00000139618	ENST00000380152	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000544455	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
BRCA2	ENSG00000139618	ENST00000614259	processed_transcript	0	0	0	1	0	0	0	0	1	0	0	0
C12orf42	ENSG00000179088	ENST00000547347	nonsense_mediated_decay	0	0	0	1	0	1	0	0	0	0	0	0
CFTR	ENSG00000001626	ENST00000003084	protein_coding	0	1	0	0	0	0	1	0	0	0	1	0
CFTR	ENSG00000001626	ENST00000426809	protein_coding	0	1	0	0	0	0	1	0	0	0	1	0
CFTR	ENSG00000001626	ENST00000647978	nonsense_mediated_decay	0	0	0	1	0	0	1	0	0	0	0	0
CFTR	ENSG00000001626	ENST00000648260	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
CFTR	ENSG00000001626	ENST00000649406	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
CFTR	ENSG00000001626	ENST00000649781	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
CFTR	ENSG00000001626	ENST00000673785	protein_coding	0	1	0	0	0	0	1	0	0	0	1	0
CYP2F1	ENSG00000197446	ENST00000331105	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
CYP2F1	ENSG00000197446	ENST00000439903	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
CYP2F1	ENSG00000197446	ENST00000526093	retained_intron	0	0	0	1	0	0	1	0	0	0	0	0
CYP2F1	ENSG00000197446	ENST00000531409	retained_intron	0	0	0	1	0	0	1	0	0	0	0	0
CYP2F1	ENSG00000197446	ENST00000532164	nonsense_mediated_decay	0	0	0	1	0	0	1	0	0	0	0	0
CYP2F1	ENSG00000197446	ENST00000534009	non_stop_decay	0	0	0	1	0	0	0	0	0	0	0	1
HBBP1	ENSG00000229988	ENST00000433329	transcribed_unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	1
HBBP1	ENSG00000229988	ENST00000454892	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	1
HBD	ENSG00000223609	ENST00000643122	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
HBG1	ENSG00000213934	ENST00000330597	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0
HBG1	ENSG00000213934	ENST00000632727	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0
HBG1	ENSG00000213934	ENST00000648735	retained_intron	0	0	0	1	0	1	0	0	0	0	0	0
ZNF385B	ENSG00000144331	ENST00000336917	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
ZNF385B	ENSG00000144331	ENST00000409343	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
ZNF385B	ENSG00000144331	ENST00000409692	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
ZNF385B	ENSG00000144331	ENST00000410066	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
ZNF385B	ENSG00000144331	ENST00000457304	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0
ZNF385B	ENSG00000144331	ENST00000466398	processed_transcript	0	0	0	1	0	0	1	0	0	0	0	0
ZNF385B	ENSG00000144331	ENST00000469551	processed_transcript	0	0	0	1	0	1	0	0	0	0	0	0
ZNF385B	ENSG00000144331	ENST00000475539	processed_transcript	0	0	0	1	0	1	0	0	0	0	0	0
