# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_upstream_gene_variant
ABCD3	ENSG00000117528	ENST00000315713	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000370214	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000468860		0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000647998	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000866889	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000866890	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000866891	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000866892	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000866893	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000866894	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000866895	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000866896	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000866897	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000866898	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000917833	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000966692	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000966693	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000966694	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000966695	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000966696	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000966697	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000966698	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000966699	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000966700	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000966701	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
BGLT3	ENSG00000260629	ENST00000564523		0	0	0	1	0	0	0	0	0	0	0	1
BRCA1	ENSG00000012048	ENST00000352993	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000357654	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000461221	nonsense_mediated_decay	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000461574	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000468300	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000470026	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000471181	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000473961	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000476777	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000477152	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000478531	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000484087	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000489037	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000491747	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000493795	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000493919	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000494123	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000497488	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000586385	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000591534	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000591849	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
BRCA1	ENSG00000012048	ENST00000618469	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000634433	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000644379	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000644555	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000652672	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000713676	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000899954	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
BRCA1	ENSG00000012048	ENST00000921914	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0
